ID,Binomial,Long,Lat,Aspect,curvature,Driver,Droad,elevation,NDSI,NDVI,rainfall,slope,TWI
1,0,222595.2597,-134660.8365,10.7131,-0.333333,1903.94,0.097087,1421,0.414702,0.376971,907,16.9428,5.99245
2,0,203404.9281,-142695.436,291.038,0.222222,1172.66,0.00525,1369,0.3694,0.318105,874,3.22466,0
3,1,184338.2056,-151008.1561,196.928,-0.111111,1448.46,0.008127,1493,0.393289,0.557039,1011,5.55446,5.3162
4,1,176458.1177,-152275.1506,137.862,0.444444,1824.28,0.059554,2181,0.422417,0.544,1051,6.53492,0
5,1,181927.8258,-154901.8466,62.5256,-0.555556,43.703,0.009183,1525,0.25812,0.730676,1047,6.50252,7.83275
6,0,146606.4907,-155056.3581,218.66,0.888889,2321.79,0.087615,2356,0.263492,0.702333,1168,8.83334,4.15907
7,1,239313.407,-155272.6743,45,-0.333333,1877.17,0.035524,1284,0.197787,0.685584,1050,1.31081,6.06704
8,1,129053.9812,-155365.3812,177.138,-0.111111,11141.3,0.048563,2792,0.221132,0.783784,1419,9.2021,8.39483
9,1,179486.5437,-156107.0365,54.6734,0.111111,218.512,0.031336,1719,0.344815,0.560044,1060,27.0518,3.03917
10,0,134616.3962,-158208.3933,108.435,0.222222,9996.02,0.002361,2064,0.447342,0.445415,1280,0.732855,0
11,1,125067.5838,-160217.0431,156.371,-0.111111,6539.69,0.051793,2099,0.313295,0.525078,1328,8.04186,5.35157
12,1,120555.8472,-161453.1354,151.699,-0.111111,8338.18,0.051177,2152,0.149425,0.727008,1346,3.41786,8.10439
13,0,165673.2131,-161947.5722,60.2551,0.111111,207.299,0.104171,1839,0.377034,0.549616,1148,3.73176,8.57614
14,0,122966.227,-162009.3769,149.036,-0.333333,6140.23,0.038567,2029,0.292212,0.620956,1337,1.35114,12.547
15,0,145370.3985,-165315.9235,133.898,-0.333333,921.904,0.117517,2031,0.240422,0.678129,1158,16.5689,6.36309
16,1,247873.3456,-166242.9927,66.8014,0.444444,568.132,0.049911,1286,0.124795,0.67991,1389,1.76449,6.46297
17,0,123182.5432,-166397.5042,128.66,0,4110.01,0.001181,1875,0.390501,0.180497,1274,2.96535,5.25068
18,0,125191.193,-166459.3088,35.5377,-0.111111,2102.27,0.000394,1845,0.210875,0.618839,1222,1.99289,0
19,0,126272.7737,-166953.7457,243.435,0.111111,1161.61,0.009187,1823,0.365279,0.15492,1204,1.03636,11.7658
20,0,158102.1483,-167170.0619,200.171,-0.111111,1793.4,0.088089,2243,0.314433,0.476953,1154,22.8949,4.30484
21,0,218052.6208,-167231.8665,335.556,-0.111111,12565,0.055181,1748,0.39457,0.499557,895,8.34172,0
22,0,161161.4765,-168158.9356,324.246,-0.666667,2866.59,0.071114,2140,0.210608,0.767569,1160,13.9942,7.33643
23,0,142156.5587,-168684.2748,151.46,-0.333333,1987.86,0.089329,1900,0.0535,0.128961,1172,14.7061,5.25864
24,0,94845.12909,-168869.6887,278.973,0.111111,14916.1,0.116385,2190,0.291506,0.460415,1344,4.44906,5.94358
25,1,98120.77347,-169580.4417,213.232,-0.222222,12391.9,0.096194,2523,0.268353,0.639083,1368,7.98309,4.26029
26,0,146915.5137,-169858.5624,117.387,-0.888889,634.062,0.102906,2172,0.028851,0.211407,1149,20.7124,3.30651
27,1,192929.0465,-170785.6316,74.7449,0.333333,2631.24,0.021448,1495,0.435469,0.335011,1019,5.27007,5.77423
28,1,104517.5507,-170816.5339,174.958,-0.111111,9272.55,0.073235,3289,0.196539,0.62294,1405,15.4364,10.5845
29,0,120741.261,-172330.7469,198.435,0.222222,5686.36,0.035417,1721,0.264249,0.619971,1302,0.732855,10.939
30,1,111037.9371,-172361.6492,144.324,-0.111111,6922.19,0.030304,2655,0.368692,0.597996,1392,21.2264,4.66826
31,0,95957.61209,-173474.1322,266.76,0,10928.1,0.07753,2299,0.132701,0.566832,1283,12.119,5.9222
32,0,95803.10056,-173505.0345,288.997,0.111111,11032.2,0.077495,2276,0.193483,0.633086,1282,14.6256,0
33,0,101427.3201,-174524.8106,168.69,-0.222222,6450.89,0.04286,2557,-0.161996,0.024745,1308,10.5161,0
34,0,173862.3241,-174772.029,79.3803,-0.222222,840.634,0.000278,2260,0.300207,0.379904,1170,7.50244,6.96146
35,1,239189.7978,-174895.6382,296.792,-0.111111,11321,0.048026,1622,0.340942,0.275285,1017,24.5924,3.82776
36,0,107793.1951,-175142.8567,191.31,0.111111,5151.89,0.039725,2634,0.257654,0.336526,1351,2.36218,7.78068
